method_key,method_label,condition,scene_name,glare_level,episodes,success_rate,collision_rate,stop_before_glare_rate,time_to_goal,avg_speed,fill_rate,local_glare_quality,local_glare_invalid_rate,power_mean,exposure_mean,gain_mean,energy_proxy,blur_proxy,noise_proxy
fixed,Fixed Camera,base,base,,20,0.38000000566244124,0.6200000077486039,0.0,8.0,0.4160113424062729,0.4486163049936295,0.0,0.0,0.41666702181100845,0.5,0.5,0.17361139729619027,0.6818855583667756,0.25
nondiff,Non-Diff Active,base,base,,20,0.44500000961124897,0.5550000060349702,0.0,8.0,0.43620533496141434,0.44073067903518676,0.0,0.0,0.41467708349227905,0.46347200572490693,0.13793538585305215,0.17195761650800706,0.6249628514051437,0.021990568656474353
ours,Ours,base,base,,20,0.3700000047683716,0.6300000090152025,0.0,8.0,0.4404478773474693,0.43924533724784853,0.0,0.0,0.4191797778010368,0.44667164236307144,0.14239495396614074,0.17572767660021782,0.5635683059692382,0.02339864382520318
fixed,Fixed Camera,sun_glare_l0,sun_glare_l0,l0,20,1.0,0.0,0.0,5.403333333333333,0.5191565215587616,0.523521500825882,0.15161677086929556,0.7706768271078668,0.41666704416275024,0.5,0.5,0.17361141741275787,1.0036043882369996,0.25
nondiff,Non-Diff Active,sun_glare_l0,sun_glare_l0,l0,20,1.0,0.0,0.0,5.236666666666667,0.5338533610105515,0.5311518609523773,0.1536744101983883,0.7757686054271956,0.41402205973863604,0.4517665356397629,0.12734915167093278,0.17141584530472756,0.8176611125469208,0.016893900651484727
ours,Ours,sun_glare_l0,sun_glare_l0,l0,20,1.0,0.0,0.0,5.3500000000000005,0.5373580992221832,0.5472366482019424,0.1776419212007507,0.7451683414851625,0.4321182116866112,0.3751499906182289,0.12123526185750962,0.18694244772195817,0.7999259173870087,0.015503067895770073
fixed,Fixed Camera,sun_glare_l1,sun_glare_l1,l1,20,1.0,0.0,0.0,5.446666666666667,0.5177633360028266,0.4953129529953003,0.14649393011122203,0.7855812484398483,0.41666704416275024,0.5,0.5,0.17361141741275787,0.9984708666801453,0.25
nondiff,Non-Diff Active,sun_glare_l1,sun_glare_l1,l1,20,1.0,0.0,0.0,5.28,0.5314219266176223,0.5002597868442535,0.1481230367030851,0.7915431464215121,0.41369093507528304,0.4519081681966782,0.12706637680530547,0.17114208191633223,0.8129628270864486,0.016821928136050702
ours,Ours,sun_glare_l1,sun_glare_l1,l1,20,1.0,0.0,0.0,5.393333333333333,0.5351828336715698,0.5153769731521607,0.1634129283895406,0.7726462822034954,0.4288781598210335,0.3836578533053398,0.12203478328883648,0.18405941352248192,0.7912967741489411,0.01569248023442924
fixed,Fixed Camera,sun_glare_l2,sun_glare_l2,l2,20,1.0,0.0,0.0,5.420000000000001,0.5168284207582474,0.4709592446684837,0.1393656582338493,0.798595845128099,0.41666704416275024,0.5,0.5,0.17361141741275787,0.9995998620986939,0.25
nondiff,Non-Diff Active,sun_glare_l2,sun_glare_l2,l2,20,1.0,0.0,0.0,5.25,0.5315353393554687,0.4767357543110847,0.14207424817136297,0.8034205346678694,0.41386282444000244,0.4523157775402069,0.1273197837173939,0.17128407210111618,0.8156805217266083,0.01688500549644232
ours,Ours,sun_glare_l2,sun_glare_l2,l2,20,1.0,0.0,0.0,5.35,0.5354328602552414,0.488980895280838,0.15311571900199247,0.7899392445012927,0.42715773433446885,0.39148769676685335,0.12217611148953438,0.18254410475492477,0.7993835121393204,0.01572862537577748
fixed,Fixed Camera,sun_glare_l3,sun_glare_l3,l3,20,1.0,0.0,0.0,5.39,0.5219149827957154,0.44964440912008286,0.1355976603477272,0.8092182244360447,0.41666704416275024,0.5,0.5,0.17361141741275787,1.0155750215053558,0.25
nondiff,Non-Diff Active,sun_glare_l3,sun_glare_l3,l3,20,1.0,0.0,0.0,5.2266666666666675,0.5364356398582458,0.4545364439487457,0.13871625785259917,0.8136604227125647,0.41397765278816223,0.4515054374933243,0.12698966562747954,0.17137895449995993,0.8254431247711181,0.0168032243847847
ours,Ours,sun_glare_l3,sun_glare_l3,l3,20,1.0,0.0,0.0,5.323333333333335,0.5399413675069809,0.466230645775795,0.1474280406787875,0.803283957329889,0.42554992288351057,0.3970554366707802,0.1221618801355362,0.1811504304409027,0.8168373107910156,0.015724955592304468
