scene_name,success_rate,collision_rate,goal_reach_rate,final_goal_dist,avg_speed,fill_rate,slit_slot,power_mean,exposure_mean,gain_mean,steps,stop_reason,episode_idx,method,method_label,checkpoint
glare,0.0,1.0,0.0,1.8545788526535034,0.6610327363014221,0.5941210985183716,far_right,0.5,0.5,0.5,24,collision,0,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.766603946685791,0.6607926487922668,0.5398550629615784,far_left,0.5,0.5,0.5,24,collision,1,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.8238030672073364,0.6635377407073975,0.5556520223617554,far_left,0.5,0.5,0.5,25,collision,2,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.005761309061199427,0.6326594948768616,0.7648389339447021,far_right,0.5,0.5,0.5,60,timeout,3,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.14148782193660736,0.6449692249298096,0.7706453204154968,far_right,0.5,0.5,0.5,60,timeout,4,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7464909553527832,0.673385500907898,0.5124536752700806,far_left,0.5,0.5,0.5,26,collision,5,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1401662826538086,0.6019753217697144,0.7585455179214478,right,0.5,0.5,0.5,60,timeout,6,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.13611479103565216,0.6218386292457581,0.7415099740028381,far_right,0.5,0.5,0.5,60,timeout,7,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.19275203347206116,0.6219632029533386,0.7633126378059387,far_right,0.5,0.5,0.5,60,timeout,8,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.10596314072608948,0.5978191494941711,0.7888527512550354,right,0.5,0.5,0.5,60,timeout,9,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.15447191894054413,0.6014233827590942,0.7796706557273865,left,0.5,0.5,0.5,60,timeout,10,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7899080514907837,0.652056872844696,0.5211282968521118,far_right,0.5,0.5,0.5,27,collision,11,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.09842497855424881,0.6323588490486145,0.7535831928253174,far_right,0.5,0.5,0.5,60,timeout,12,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.17475497722625732,0.6351428031921387,0.7548925280570984,far_right,0.5,0.5,0.5,60,timeout,13,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.11614850908517838,0.5993287563323975,0.7769579887390137,right,0.5,0.5,0.5,60,timeout,14,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1435408741235733,0.5935060977935791,0.780249297618866,left,0.5,0.5,0.5,60,timeout,15,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.06780651211738586,0.600333034992218,0.7776789665222168,left,0.5,0.5,0.5,60,timeout,16,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
