Step,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - loss,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - loss__MIN,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - loss__MAX,cam-fixed_grad-detached_depth-zero_20260509_164843 - loss,cam-fixed_grad-detached_depth-zero_20260509_164843 - loss__MIN,cam-fixed_grad-detached_depth-zero_20260509_164843 - loss__MAX,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - loss,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - loss__MIN,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - loss__MAX,cam-learned_grad-detached_depth-depth_20260509_154546 - loss,cam-learned_grad-detached_depth-depth_20260509_154546 - loss__MIN,cam-learned_grad-detached_depth-depth_20260509_154546 - loss__MAX,cam-fixed_grad-detached_depth-depth_20260509_154520 - loss,cam-fixed_grad-detached_depth-depth_20260509_154520 - loss__MIN,cam-fixed_grad-detached_depth-depth_20260509_154520 - loss__MAX,cam-learned_grad-full_depth-depth_20260509_154244 - loss,cam-learned_grad-full_depth-depth_20260509_154244 - loss__MIN,cam-learned_grad-full_depth-depth_20260509_154244 - loss__MAX
25,1.598450589179993,1.598450589179993,1.598450589179993,6.515308856964111,6.515308856964111,6.515308856964111,6.5253595352172855,6.5253595352172855,6.5253595352172855,6.486290874481202,6.486290874481202,6.486290874481202,6.488533344268799,6.488533344268799,6.488533344268799,6.4865513610839844,6.4865513610839844,6.4865513610839844
50,1.531062664985657,1.531062664985657,1.531062664985657,5.0607740020751955,5.0607740020751955,5.0607740020751955,5.051081008911133,5.051081008911133,5.051081008911133,5.03797233581543,5.03797233581543,5.03797233581543,5.057476406097412,5.057476406097412,5.057476406097412,5.038316860198974,5.038316860198974,5.038316860198974
75,1.474542102813721,1.474542102813721,1.474542102813721,5.367399463653564,5.367399463653564,5.367399463653564,5.428141670227051,5.428141670227051,5.428141670227051,5.175452556610107,5.175452556610107,5.175452556610107,5.264866313934326,5.264866313934326,5.264866313934326,5.182394275665283,5.182394275665283,5.182394275665283
100,1.4663951587677,1.4663951587677,1.4663951587677,5.620044136047364,5.620044136047364,5.620044136047364,5.71895278930664,5.71895278930664,5.71895278930664,5.472135124206543,5.472135124206543,5.472135124206543,5.418907966613769,5.418907966613769,5.418907966613769,5.18236722946167,5.18236722946167,5.18236722946167
125,1.432259469032288,1.432259469032288,1.432259469032288,5.340519065856934,5.340519065856934,5.340519065856934,5.465087337493896,5.465087337493896,5.465087337493896,4.987403373718262,4.987403373718262,4.987403373718262,5.038252487182617,5.038252487182617,5.038252487182617,4.870672664642334,4.870672664642334,4.870672664642334
150,1.472617874145508,1.472617874145508,1.472617874145508,4.773478832244873,4.773478832244873,4.773478832244873,5.109779319763184,5.109779319763184,5.109779319763184,4.57928807258606,4.57928807258606,4.57928807258606,4.520571269989014,4.520571269989014,4.520571269989014,4.525688438415528,4.525688438415528,4.525688438415528
175,1.459790616035461,1.459790616035461,1.459790616035461,4.207910842895508,4.207910842895508,4.207910842895508,4.857336349487305,4.857336349487305,4.857336349487305,3.9047647285461426,3.9047647285461426,3.9047647285461426,3.743982458114624,3.743982458114624,3.743982458114624,3.87893292427063,3.87893292427063,3.87893292427063
200,1.482595014572144,1.482595014572144,1.482595014572144,3.5187053585052492,3.5187053585052492,3.5187053585052492,4.1688329792022705,4.1688329792022705,4.1688329792022705,3.1938414478302004,3.1938414478302004,3.1938414478302004,3.184659414291382,3.184659414291382,3.184659414291382,3.1286088466644286,3.1286088466644286,3.1286088466644286
225,1.440177946090698,1.440177946090698,1.440177946090698,2.659318628311157,2.659318628311157,2.659318628311157,3.1467971706390383,3.1467971706390383,3.1467971706390383,2.649427442550659,2.649427442550659,2.649427442550659,2.6668359661102294,2.6668359661102294,2.6668359661102294,2.594974384307861,2.594974384307861,2.594974384307861
250,1.424115047454834,1.424115047454834,1.424115047454834,2.076501517295837,2.076501517295837,2.076501517295837,2.395827751159668,2.395827751159668,2.395827751159668,2.1972321701049804,2.1972321701049804,2.1972321701049804,2.246209144592285,2.246209144592285,2.246209144592285,2.230134353637695,2.230134353637695,2.230134353637695
