Step,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - success_rate,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - success_rate__MIN,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - success_rate__MAX,cam-fixed_grad-detached_depth-zero_20260509_164843 - success_rate,cam-fixed_grad-detached_depth-zero_20260509_164843 - success_rate__MIN,cam-fixed_grad-detached_depth-zero_20260509_164843 - success_rate__MAX,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - success_rate,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - success_rate__MIN,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - success_rate__MAX,cam-learned_grad-detached_depth-depth_20260509_154546 - success_rate,cam-learned_grad-detached_depth-depth_20260509_154546 - success_rate__MIN,cam-learned_grad-detached_depth-depth_20260509_154546 - success_rate__MAX,cam-fixed_grad-detached_depth-depth_20260509_154520 - success_rate,cam-fixed_grad-detached_depth-depth_20260509_154520 - success_rate__MIN,cam-fixed_grad-detached_depth-depth_20260509_154520 - success_rate__MAX,cam-learned_grad-full_depth-depth_20260509_154244 - success_rate,cam-learned_grad-full_depth-depth_20260509_154244 - success_rate__MIN,cam-learned_grad-full_depth-depth_20260509_154244 - success_rate__MAX
25,0.1437500048801303,0.1437500048801303,0.1437500048801303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.352916676402092,0.352916676402092,0.352916676402092,0,0,0,0.001250000037252903,0.001250000037252903,0.001250000037252903,0,0,0,0,0,0,0,0,0
75,0.4141666758060455,0.4141666758060455,0.4141666758060455,0.001250000037252903,0.001250000037252903,0.001250000037252903,0.000833333358168602,0.000833333358168602,0.000833333358168602,0.001250000037252903,0.001250000037252903,0.001250000037252903,0.001666666716337204,0.001666666716337204,0.001666666716337204,0.001250000037252903,0.001250000037252903,0.001250000037252903
100,0.423750011920929,0.423750011920929,0.423750011920929,0.000416666679084301,0.000416666679084301,0.000416666679084301,0,0,0,0.001666666716337204,0.001666666716337204,0.001666666716337204,0.000833333358168602,0.000833333358168602,0.000833333358168602,0.001666666716337204,0.001666666716337204,0.001666666716337204
125,0.5087500143051148,0.5087500143051148,0.5087500143051148,0.001250000037252903,0.001250000037252903,0.001250000037252903,0.002500000074505806,0.002500000074505806,0.002500000074505806,0.000833333358168602,0.000833333358168602,0.000833333358168602,0.002916666753590107,0.002916666753590107,0.002916666753590107,0.001666666716337204,0.001666666716337204,0.001666666716337204
150,0.4779166829586029,0.4779166829586029,0.4779166829586029,0.000416666679084301,0.000416666679084301,0.000416666679084301,0.000833333358168602,0.000833333358168602,0.000833333358168602,0.002916666753590107,0.002916666753590107,0.002916666753590107,0.002916666753590107,0.002916666753590107,0.002916666753590107,0.00416666679084301,0.00416666679084301,0.00416666679084301
175,0.4525000154972076,0.4525000154972076,0.4525000154972076,0.001666666716337204,0.001666666716337204,0.001666666716337204,0.000833333358168602,0.000833333358168602,0.000833333358168602,0.006250000186264515,0.006250000186264515,0.006250000186264515,0.005416666828095913,0.005416666828095913,0.005416666828095913,0.006250000186264515,0.006250000186264515,0.006250000186264515
200,0.4791666793823242,0.4791666793823242,0.4791666793823242,0.006666666865348816,0.006666666865348816,0.006666666865348816,0.006250000186264515,0.006250000186264515,0.006250000186264515,0.016666666977107523,0.016666666977107523,0.016666666977107523,0.01083333358168602,0.01083333358168602,0.01083333358168602,0.012500000260770321,0.012500000260770321,0.012500000260770321
225,0.4770833492279053,0.4770833492279053,0.4770833492279053,0.010416666939854623,0.010416666939854623,0.010416666939854623,0.023333333916962146,0.023333333916962146,0.023333333916962146,0.033333334624767307,0.033333334624767307,0.033333334624767307,0.03208333395421505,0.03208333395421505,0.03208333395421505,0.040833334624767306,0.040833334624767306,0.040833334624767306
250,0.5312500202655792,0.5312500202655792,0.5312500202655792,0.02083333395421505,0.02083333395421505,0.02083333395421505,0.050000001266598704,0.050000001266598704,0.050000001266598704,0.05666666850447655,0.05666666850447655,0.05666666850447655,0.05083333499729634,0.05083333499729634,0.05083333499729634,0.054166668355464936,0.054166668355464936,0.054166668355464936
