scene_name,success_rate,collision_rate,goal_reach_rate,final_goal_dist,avg_speed,fill_rate,slit_slot,power_mean,exposure_mean,gain_mean,steps,stop_reason,episode_idx,method,method_label,checkpoint
glare,0.0,1.0,0.0,1.7796192169189453,0.6464239954948425,0.6880856156349182,far_right,0.5,0.5,0.5,22,collision,0,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7314441204071045,0.6528818011283875,0.637652575969696,far_left,0.5,0.5,0.5,23,collision,1,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7555887699127197,0.642492413520813,0.6654895544052124,far_left,0.5,0.5,0.5,23,collision,2,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7144243717193604,0.6619106531143188,0.5848052501678467,far_right,0.5,0.5,0.5,24,collision,3,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.732200026512146,0.6439705491065979,0.6447136998176575,far_right,0.5,0.5,0.5,24,collision,4,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7420018911361694,0.6341432332992554,0.6391153335571289,far_left,0.5,0.5,0.5,24,collision,5,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7367010116577148,0.6260110139846802,0.5854673385620117,right,0.5,0.5,0.5,25,collision,6,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7979952096939087,0.5950284004211426,0.6382017135620117,far_right,0.5,0.5,0.5,25,collision,7,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7484203577041626,0.6329842805862427,0.5969831943511963,far_right,0.5,0.5,0.5,24,collision,8,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.772415280342102,0.6337955594062805,0.5518192052841187,right,0.5,0.5,0.5,24,collision,9,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7773181200027466,0.6417521834373474,0.5655118823051453,left,0.5,0.5,0.5,23,collision,10,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7980241775512695,0.6103394627571106,0.6576150059700012,far_right,0.5,0.5,0.5,24,collision,11,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7823470830917358,0.6083791255950928,0.6291956305503845,far_right,0.5,0.5,0.5,25,collision,12,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7674946784973145,0.6406260132789612,0.6505699157714844,far_right,0.5,0.5,0.5,24,collision,13,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,1.0,0.0,1.0,0.10834506899118423,0.60175621509552,0.768352210521698,right,0.5,0.5,0.5,60,timeout,14,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.6636221408843994,0.6622268557548523,0.5025867819786072,left,0.5,0.5,0.5,26,collision,15,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.730558156967163,0.6248071193695068,0.520128071308136,left,0.5,0.5,0.5,25,collision,16,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7683078050613403,0.6443485021591187,0.5945629477500916,far_left,0.5,0.5,0.5,22,collision,17,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7432795763015747,0.6506687998771667,0.6766367554664612,far_left,0.5,0.5,0.5,24,collision,18,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7300946712493896,0.6500111222267151,0.5778734087944031,far_left,0.5,0.5,0.5,24,collision,19,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7024794816970825,0.6470742225646973,0.5521714091300964,left,0.5,0.5,0.5,24,collision,20,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.8062045574188232,0.6259502172470093,0.677379310131073,far_right,0.5,0.5,0.5,23,collision,21,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.78269624710083,0.6396588683128357,0.6629239320755005,far_left,0.5,0.5,0.5,24,collision,22,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7673447132110596,0.6076509952545166,0.5563607811927795,left,0.5,0.5,0.5,24,collision,23,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.8103511333465576,0.6364882588386536,0.6630366444587708,far_left,0.5,0.5,0.5,23,collision,24,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7187782526016235,0.6219863891601562,0.6477924585342407,far_right,0.5,0.5,0.5,25,collision,25,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.721116542816162,0.644420325756073,0.6717632412910461,far_right,0.5,0.5,0.5,23,collision,26,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.775599479675293,0.6184886693954468,0.6331710815429688,far_right,0.5,0.5,0.5,24,collision,27,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7780979871749878,0.6006968021392822,0.5679221749305725,right,0.5,0.5,0.5,24,collision,28,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7102417945861816,0.6246845722198486,0.5070891380310059,left,0.5,0.5,0.5,25,collision,29,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7159509658813477,0.6623336672782898,0.6465693116188049,far_right,0.5,0.5,0.5,24,collision,30,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7485334873199463,0.6441682577133179,0.5913282632827759,far_left,0.5,0.5,0.5,24,collision,31,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.6917064189910889,0.6494633555412292,0.5157193541526794,left,0.5,0.5,0.5,24,collision,32,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7242612838745117,0.6370061039924622,0.5425536036491394,left,0.5,0.5,0.5,24,collision,33,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7201765775680542,0.6546334624290466,0.5720223188400269,far_left,0.5,0.5,0.5,23,collision,34,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7171971797943115,0.6293960809707642,0.6354045867919922,far_left,0.5,0.5,0.5,25,collision,35,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7118033170700073,0.6509754061698914,0.5924479365348816,far_right,0.5,0.5,0.5,24,collision,36,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7566593885421753,0.6221061944961548,0.6473618745803833,far_left,0.5,0.5,0.5,24,collision,37,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.741674780845642,0.6386093497276306,0.6218799948692322,far_right,0.5,0.5,0.5,24,collision,38,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7263233661651611,0.6203023195266724,0.6025993824005127,far_left,0.5,0.5,0.5,25,collision,39,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7462705373764038,0.6316680312156677,0.6557908654212952,far_right,0.5,0.5,0.5,24,collision,40,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.750475287437439,0.6439664363861084,0.641027569770813,far_left,0.5,0.5,0.5,24,collision,41,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7849390506744385,0.6282954216003418,0.5515375137329102,right,0.5,0.5,0.5,23,collision,42,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7322087287902832,0.628343403339386,0.5223430395126343,left,0.5,0.5,0.5,24,collision,43,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7962265014648438,0.6301873922348022,0.6567695140838623,far_right,0.5,0.5,0.5,23,collision,44,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7095606327056885,0.6546404361724854,0.6372345685958862,far_right,0.5,0.5,0.5,24,collision,45,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7720991373062134,0.6326059103012085,0.5337724089622498,right,0.5,0.5,0.5,24,collision,46,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7204253673553467,0.6603990197181702,0.6739596724510193,far_right,0.5,0.5,0.5,23,collision,47,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7605851888656616,0.6561769843101501,0.6055213809013367,far_left,0.5,0.5,0.5,23,collision,48,zero,Blind zero-depth,checkpoint/2026-05-09-16-48-43/checkpoint0014.pth
