method,scene_name,n,success_rate,collision_rate,goal_reach_rate,final_goal_dist,avg_speed,fill_rate,power_mean,exposure_mean,gain_mean,steps
dagger,dark,300,0.016666666666666666,0.9633333333333334,0.016666666666666666,1.696132828220725,0.6172990691661835,0.9538925649722417,0.6776196287075679,0.7073090334733327,0.6948897023995717,24.993333333333332
dagger,glare,300,0.043333333333333335,0.9433333333333334,0.043333333333333335,1.6695021136353414,0.6330799790223439,0.9360726102193196,0.7857328857978185,0.1184469643731912,0.13193017065525056,31.01
dagger,specular,300,0.03,0.9666666666666667,0.03,1.6830878237262368,0.60773286541303,0.9831231387456258,0.3792169432838758,0.3998426861564318,0.36111620674530664,27.916666666666668
fixed,dark,300,0.6833333333333333,0.31666666666666665,0.6833333333333333,0.6403425409644842,0.6292526024580002,0.7038297462463379,0.5,0.5,0.5,49.18
fixed,glare,300,0.6533333333333333,0.3466666666666667,0.6533333333333333,0.6967376209562645,0.6278300142288208,0.6867508387565613,0.5,0.5,0.5,48.06333333333333
fixed,specular,300,0.6633333333333333,0.33666666666666667,0.6633333333333333,0.6778800583910197,0.6278814671436945,0.7709701238075892,0.5,0.5,0.5,48.39
flightonly,dark,300,0.82,0.18,0.82,0.42812139589339493,0.5990995943546296,0.9772256167729696,0.6022384522358576,0.6065030330419541,0.5970123589038849,53.64666666666667
flightonly,glare,300,0.67,0.33,0.67,0.6968425690631072,0.6674034770329793,0.9578710575898488,0.7037445159753164,0.21316555944581828,0.22261460589865845,49.88666666666666
flightonly,specular,300,0.7633333333333333,0.23666666666666666,0.7633333333333333,0.5252941397887965,0.6346920017401377,0.9904366791248321,0.4262078991532326,0.42461237947146097,0.40113361994425456,52.06666666666667
nondiff,dark,300,0.6233333333333333,0.37666666666666665,0.6233333333333333,0.7537821434562405,0.6493249239524206,0.6725703730185827,0.41519859542449317,0.3829371404647827,0.5067794722318649,47.14
nondiff,glare,300,0.6,0.4,0.6,0.7954245031438768,0.6474687683582306,0.6651131311058998,0.41532176971435547,0.3830822933713595,0.5067965034643809,46.39
nondiff,specular,300,0.5166666666666667,0.48333333333333334,0.5166666666666667,0.9274086092039943,0.6502597459157308,0.9333205918471018,0.4144909381866455,0.3834441938996315,0.5072583488623301,43.49333333333333
pretrained,dark,300,0.02,0.9666666666666667,0.02,1.6969923645506302,0.6189909952878953,0.9524635855356852,0.6773008579015731,0.7031687589486441,0.69305952390035,24.903333333333332
pretrained,glare,300,0.03666666666666667,0.95,0.03666666666666667,1.679919432575504,0.6327908037106196,0.9395795987049739,0.7807421215375264,0.112651756554842,0.12778307850162188,30.846666666666668
pretrained,specular,300,0.03666666666666667,0.96,0.03666666666666667,1.6766198308890063,0.6077708822488784,0.9831062726179759,0.3807686628897985,0.4022725852330526,0.3650692167878151,28.01
randfix,dark,300,0.64,0.36,0.64,0.7176085621739428,0.6335900902748108,0.734166563252608,0.5393371659268935,0.5209640836218993,0.4529370021571716,47.513333333333335
randfix,glare,300,0.6066666666666667,0.3933333333333333,0.6066666666666667,0.7766919898241759,0.6295058103402456,0.692009164194266,0.5239880731453498,0.5201637817422549,0.46626729167376957,46.50333333333333
randfix,specular,300,0.6333333333333333,0.36666666666666664,0.6333333333333333,0.733753408882767,0.632636280854543,0.8015065636237463,0.5265557107329368,0.5032785858710607,0.456524339877069,47.29333333333334
zero,dark,300,0.03,0.97,0.03,1.6985251649220785,0.6361055856943131,0.5852709897359212,0.5,0.5,0.5,24.88
zero,glare,300,0.03333333333333333,0.9666666666666667,0.03333333333333333,1.69830081615597,0.6315829513470331,0.6025667255123456,0.5,0.5,0.5,25.073333333333334
zero,specular,300,0.03333333333333333,0.9666666666666667,0.03333333333333333,1.6960065761705239,0.6336618487040202,0.6774320564667384,0.5,0.5,0.5,25.046666666666667
dagger,overall,900,0.03,0.9577777777777777,0.03,1.6829075885274345,0.6193706378671858,0.9576961046457291,0.6141898192630874,0.4085328946676519,0.39597869326670965,27.973333333333333
fixed,overall,900,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6716534067705895,0.6283213612768385,0.7205169029368295,0.5,0.5,0.5,48.544444444444444
flightonly,overall,900,0.7511111111111111,0.24888888888888888,0.7511111111111111,0.5500860349150996,0.6337316910425822,0.9751777844958835,0.5773969557881355,0.4147603239864111,0.4069201949155993,51.86666666666667
nondiff,overall,900,0.58,0.42,0.58,0.8255384186013706,0.6490178127421273,0.7570013653238614,0.41500376777516473,0.3831545425785912,0.5069447748528586,45.67444444444445
pretrained,overall,900,0.03111111111111111,0.9588888888888889,0.03111111111111111,1.6845105426717135,0.619850893749131,0.9583831522862116,0.6129372141096328,0.4060310335788462,0.39530393972992894,27.92
randfix,overall,900,0.6266666666666667,0.37333333333333335,0.6266666666666667,0.7426846536269618,0.6319107271565332,0.7425607636902067,0.5299603166017267,0.5148021504117383,0.4585762112360034,47.10333333333333
zero,overall,900,0.03222222222222222,0.9677777777777777,0.03222222222222222,1.6976108524161908,0.6337834619151221,0.6217565905716684,0.5,0.5,0.5,25.0
