method,scene_name,phase,n,power,exposure,gain,scene_effect_mean,min_margin,clearance,goal_dist
dagger,dark,after,330,0.5047618639288527,0.4891692380110423,0.4716166286757498,3.8298922362213056e-07,0.5383237664220911,0.5383237664220911,0.7720350122135697
dagger,dark,before,6869,0.6812251647029977,0.7121737267291083,0.6997632592296059,0.10179225990981512,0.8474343434858449,0.8474343434858449,2.6096140315637157
dagger,dark,near,299,0.6606629773924582,0.706179151367583,0.6873970207163322,0.06766372525616679,0.010861307685107716,0.010861307685107716,1.652607378353642
dagger,glare,after,451,0.5137517514355695,0.46339143849000697,0.45442700088684945,1.08937143580056e-05,0.5954748055259563,0.5954748055259563,0.6916534483036286
dagger,glare,before,8533,0.7919082091866939,0.10834522555313404,0.12278585205002825,0.09968848738129137,0.827522816157394,0.827522816157394,2.5911692770818577
dagger,glare,near,319,0.7498700411342154,0.0972464415872452,0.12783865884039844,0.0710780245253231,0.012808055974919711,0.012808055974919711,1.6341753768322984
dagger,specular,after,264,0.4976749860427596,0.4710835399049701,0.4643459994007241,1.4749678800326014e-07,0.5824532922300877,0.5824532922300877,0.5991515605287119
dagger,specular,before,7817,0.3772836563965999,0.39834311531681044,0.3594401528596787,0.049236651638076445,0.8191935382330232,0.8191935382330232,2.578767129080793
dagger,specular,near,294,0.40167169110710116,0.37006391148988893,0.3784185278983343,0.045360582056993774,0.008270592907472153,0.008270592907472153,1.6590577899193277
fixed,dark,after,6477,0.5,0.5,0.5,2.4387839177104104e-07,0.7076819762633559,0.7076819762633559,0.4852483274479265
fixed,dark,before,7044,0.5,0.5,0.5,0.38661636262370536,0.8650154898811362,0.8650154898811362,2.63042102105099
fixed,dark,near,1233,0.5,0.5,0.5,0.13352881286782362,0.023148050258787377,0.023148050258787377,1.5668234560224745
fixed,glare,after,6155,0.5,0.5,0.5,8.869328925965191e-06,0.7167223641269097,0.7167223641269097,0.4834100421512035
fixed,glare,before,7104,0.5,0.5,0.5,0.5114505929905955,0.8650884118459552,0.8650884118459552,2.6306645358233034
fixed,glare,near,1160,0.5,0.5,0.5,0.4957892785437409,0.023113430677491626,0.023113430677491626,1.5676048195567625
fixed,specular,after,6281,0.5,0.5,0.5,1.06153367241506e-07,0.708407764450425,0.708407764450425,0.49069877553780433
fixed,specular,before,7061,0.5,0.5,0.5,0.1828325098300517,0.8638793945721973,0.8638793945721973,2.6290867129089373
fixed,specular,near,1175,0.5,0.5,0.5,0.0623483417769781,0.023133217739833005,0.023133217739833005,1.5653381804202466
flightonly,dark,after,8144,0.5091797721431333,0.48385320699358386,0.4772727411159832,1.8900139125644254e-07,0.7143360383873567,0.7143360383873567,0.4611180213971653
flightonly,dark,before,6633,0.6821720272316106,0.710631164529646,0.6988757501068328,0.10643351097802815,0.8672704747633706,0.8672704747633706,2.6318155498718867
flightonly,dark,near,1317,0.6607364028262296,0.687752446262965,0.6772173412749508,0.02464597644845699,0.02507896574743406,0.02507896574743406,1.5636871985259524
flightonly,glare,after,5581,0.5172914089673396,0.4476811427424787,0.4447334385905038,7.737608971584453e-06,0.6878683011157178,0.6878683011157178,0.5482603152648157
flightonly,glare,before,8057,0.7945283221535637,0.11209822441206775,0.12519477624841477,0.10676408477614886,0.8476120532758833,0.8476120532758833,2.6147701725617107
flightonly,glare,near,1328,0.7375338294778961,0.09852274072199431,0.1272359600273825,0.044860943011547326,0.02461191072621024,0.02461191072621024,1.5554822099855148
flightonly,specular,after,7031,0.49681908187664786,0.46808273553034435,0.46131891976920625,6.092785232776004e-08,0.7009368613849764,0.7009368613849764,0.4974300376360921
flightonly,specular,before,7250,0.37681306886261906,0.400802782572549,0.35959402085583786,0.051316371059366345,0.8553974684433819,0.8553974684433819,2.6212672626561133
flightonly,specular,near,1339,0.41316888190366335,0.37131201154799315,0.38658075703445705,0.01481191568910713,0.02648330809074837,0.02648330809074837,1.5540609904596216
nondiff,dark,after,5727,0.3988568202631624,0.3524765348650927,0.5127063467018846,3.01322467246138e-07,0.6942098294639277,0.6942098294639277,0.5113297840351051
