source,method,scene,phase,n,power,exposure,gain,teacher_power,teacher_exposure,teacher_gain,mae_power,mae_exposure,mae_gain
offline_teacher_dataset,dagger,glare,before,1357,0.8195847272872925,0.043771352618932724,0.06367652118206024,0.8180457949638367,0.04421592503786087,0.06430339068174362,0.01278861053287983,0.0043097250163555145,0.00556025980040431
offline_teacher_dataset,dagger,glare,near,388,0.5778030753135681,0.28876814246177673,0.3173833191394806,0.5801165103912354,0.2837079167366028,0.3121156692504883,0.01034510787576437,0.011147850193083286,0.010240763425827026
offline_teacher_dataset,dagger,glare,after,1135,0.5015842914581299,0.47040310502052307,0.4645712673664093,0.5012615919113159,0.47277751564979553,0.46516892313957214,0.0010460222838446498,0.0029061990790069103,0.0008162233862094581
offline_teacher_dataset,dagger,specular,before,1239,0.3629405200481415,0.38313350081443787,0.34467437863349915,0.36425313353538513,0.3815110921859741,0.34596091508865356,0.007737382315099239,0.014770785346627235,0.009282722137868404
offline_teacher_dataset,dagger,specular,near,369,0.44536924362182617,0.4076591730117798,0.41544753313064575,0.4493303894996643,0.4078216850757599,0.4185236096382141,0.00618614861741662,0.006330531556159258,0.005489815957844257
offline_teacher_dataset,dagger,specular,after,1272,0.4996188282966614,0.4750136435031891,0.4660356044769287,0.49943220615386963,0.4769836962223053,0.4665033519268036,0.0010325447656214237,0.0029521097894757986,0.000884372042492032
offline_teacher_dataset,dagger,dark,before,1096,0.7081975340843201,0.7462056279182434,0.7313547730445862,0.7127357721328735,0.7434897422790527,0.731831431388855,0.007777372375130653,0.004528295714408159,0.0035931821912527084
offline_teacher_dataset,dagger,dark,near,372,0.5818775296211243,0.5962707996368408,0.5844348073005676,0.5868901610374451,0.5970373153686523,0.5874657034873962,0.008529795333743095,0.007652477361261845,0.006990515626966953
offline_teacher_dataset,dagger,dark,after,1412,0.5020431876182556,0.48331964015960693,0.4681645333766937,0.5012698173522949,0.4850132465362549,0.46862369775772095,0.00112066394649446,0.0024746523704379797,0.0007935364847071469
online_eval,dagger,dark,after,330,0.5047618639288527,0.4891692380110423,0.4716166286757498,,,,,,
online_eval,dagger,dark,before,6869,0.6812251647029977,0.7121737267291083,0.6997632592296059,,,,,,
online_eval,dagger,dark,near,299,0.6606629773924582,0.706179151367583,0.6873970207163322,,,,,,
online_eval,dagger,glare,after,451,0.5137517514355695,0.46339143849000697,0.45442700088684945,,,,,,
online_eval,dagger,glare,before,8533,0.7919082091866939,0.10834522555313404,0.12278585205002825,,,,,,
online_eval,dagger,glare,near,319,0.7498700411342154,0.0972464415872452,0.12783865884039844,,,,,,
online_eval,dagger,specular,after,264,0.4976749860427596,0.4710835399049701,0.4643459994007241,,,,,,
online_eval,dagger,specular,before,7817,0.3772836563965999,0.39834311531681044,0.3594401528596787,,,,,,
online_eval,dagger,specular,near,294,0.40167169110710116,0.37006391148988893,0.3784185278983343,,,,,,
online_eval,fixed,dark,after,6477,0.5,0.5,0.5,,,,,,
online_eval,fixed,dark,before,7044,0.5,0.5,0.5,,,,,,
online_eval,fixed,dark,near,1233,0.5,0.5,0.5,,,,,,
online_eval,fixed,glare,after,6155,0.5,0.5,0.5,,,,,,
online_eval,fixed,glare,before,7104,0.5,0.5,0.5,,,,,,
online_eval,fixed,glare,near,1160,0.5,0.5,0.5,,,,,,
online_eval,fixed,specular,after,6281,0.5,0.5,0.5,,,,,,
online_eval,fixed,specular,before,7061,0.5,0.5,0.5,,,,,,
online_eval,fixed,specular,near,1175,0.5,0.5,0.5,,,,,,
online_eval,flightonly,dark,after,8144,0.5091797721431333,0.48385320699358386,0.4772727411159832,,,,,,
online_eval,flightonly,dark,before,6633,0.6821720272316106,0.710631164529646,0.6988757501068328,,,,,,
online_eval,flightonly,dark,near,1317,0.6607364028262296,0.687752446262965,0.6772173412749508,,,,,,
online_eval,flightonly,glare,after,5581,0.5172914089673396,0.4476811427424787,0.4447334385905038,,,,,,
online_eval,flightonly,glare,before,8057,0.7945283221535637,0.11209822441206775,0.12519477624841477,,,,,,
online_eval,flightonly,glare,near,1328,0.7375338294778961,0.09852274072199431,0.1272359600273825,,,,,,
online_eval,flightonly,specular,after,7031,0.49681908187664786,0.46808273553034435,0.46131891976920625,,,,,,
online_eval,flightonly,specular,before,7250,0.37681306886261906,0.400802782572549,0.35959402085583786,,,,,,
online_eval,flightonly,specular,near,1339,0.41316888190366335,0.37131201154799315,0.38658075703445705,,,,,,
online_eval,nondiff,dark,after,5727,0.3988568202631624,0.3524765348650927,0.5127063467018846,,,,,,
online_eval,nondiff,dark,before,7250,0.42326188819161775,0.39794982705445126,0.5036318402536984,,,,,,
online_eval,nondiff,dark,near,1165,0.4109885236480205,0.3687982966204058,0.5077680919815031,,,,,,
online_eval,nondiff,glare,after,5489,0.39913233903440803,0.3527202385982153,0.512674514274168,,,,,,
online_eval,nondiff,glare,before,7316,0.4226786670844825,0.39691012062666,0.503813723349682,,,,,,
online_eval,nondiff,glare,near,1112,0.41150337597020237,0.368475881787084,0.5082232841431237,,,,,,
online_eval,nondiff,specular,after,4764,0.39869429639639925,0.3516752260645631,0.5132472127313178,,,,,,
